fiscal_yr,service_id,service_std_id,service_std_en,service_std_fr,service_std_url_en,service_std_url_fr,service_std_type,target_type,service_std_target,volume_meeting_target,total_volume,performance,gcss_tool_fiscal_yr,channel,standard_channel_comment_en,standard_channel_comment_fr,standard_comment_en,standard_comment_fr,realtime_result_url_en,realtime_result_url_fr
2017-2018,50,2,"Mean time to restore service: 30 minutes, 90% of the time","Délai moyen de rétablissement : 30 minutes, 90 % du temps",http://service.ssc-spc.gc.ca/en/services/communicating/teleconferencing/users#standards,http://service.ssc-spc.gc.ca/fr/services/communication/teleconference/ulits#normes,time,percentage,0.9,0,0,ND,2017-2018,NA,NA,NA,NA,NA,"ND

URL to published target results for Column H is found below:

http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","AD

L’adresse URL menant vers les résultats cibles de la colonne I se trouve ci-dessous

http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante"
2017-2018,50,95,"Request fulfilment duration: 30 minutes, 95% of the time
-Teleconferencing account creation (24 x 7 x 365)","Délai de traitement des demandes : 30 minutes, 95 % du temps
-Création d’un compte de téléconférence (24 x 7 x 365)",http://service.ssc-spc.gc.ca/en/services/communicating/teleconferencing/users#standards,http://service.ssc-spc.gc.ca/fr/services/communication/teleconference/ulits#normes,time,percentage,0.95,0,17452,0,2017-2018,NA,NA,NA,NA,NA,"ND

URL to published target results for Column H is found below:

http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","AD

L’adresse URL menant vers les résultats cibles de la colonne I se trouve ci-dessous

http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante"
2017-2018,49,1,"Availability: 24 x 7 x 365, 99.8% of the time 
-Service hours: 24 x 7 x 365
-Regular scheduled maintenance: The Web conferencing service performs upgrades periodically during weekend periods at a date to be determined by the supplier. A communique is sent out in advance to the existing user community.
-External vendor support hours: 24 x 7 x 365","Disponibilité : 24 x 7 x 365, 99,8 % du temps.
-Heures de service : 24 x 7 x 365, tous les jours de l’année.
-Maintenance de routine planifiée : Les mises à niveau du service de cyberconférence auront lieu périodiquement pendant la fin de semaine, à une date déterminée par le fournisseur. Un avis sera envoyé aux utilisateurs.
-Heures de soutien d'un fournisseur externe : 24 x 7 x 365",http://service.ssc-spc.gc.ca/en/services/communicating/web-conferencing/users#standards,http://service.ssc-spc.gc.ca/fr/services/communication/cyberconference/utils#normes,acces,percentage,0.998,0,0,ND,2017-2018,NA,NA,NA,NA,NA,"ND

URL to published target results for Column H is found below:

http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","AD

L’adresse URL menant vers les résultats cibles de la colonne I se trouve ci-dessous

http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante"
2017-2018,49,2,"Mean time to restore service: 30 minutes, 90% of the time","Délai moyen de rétablissement : 30 minutes, 90 % du temps",http://service.ssc-spc.gc.ca/en/services/communicating/web-conferencing/users#standards,http://service.ssc-spc.gc.ca/fr/services/communication/cyberconference/utils#normes,time,percentage,0.9,0,0,ND,2017-2018,NA,NA,NA,NA,NA,"ND

URL to published target results for Column H is found below:

http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","AD

L’adresse URL menant vers les résultats cibles de la colonne I se trouve ci-dessous

http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante"
2017-2018,49,92,"Request fulfilment duration: 30 minutes, 95% of the time
-Web conferencing account creation: 24 x 7 x 365","Délai de traitement des demandes : 30 minutes, 95% du temps.
-Création d’un compte de cyberconférence : 24 x 7 x 365",http://service.ssc-spc.gc.ca/en/services/communicating/web-conferencing/users#standards,http://service.ssc-spc.gc.ca/fr/services/communication/cyberconference/utils#normes,time,percentage,0.95,0,9699,0,2017-2018,NA,NA,NA,NA,NA,"ND

URL to published target results for Column H is found below:

http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","AD

L’adresse URL menant vers les résultats cibles de la colonne I se trouve ci-dessous

http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante"
2017-2018,36,1,"Availability: 24 x 7 x 365, 99.5% of the time
-Service hours: myKEY services are available 24 x 7 x 365 
-Regular scheduled maintenance: Core myKEY maintenance periods are typically the third Sunday of each month, from 05:00 to 09:00 (EST). For specific dates see Maintenance Windows. This means that: ◦Certificate administration may not be available at this time
◦Certificate functionality may be impacted during this time","Disponibilité :  24 x 7 x 365, 99,5 % du temps
-Heures de service : Les services maCLÉ sont accessibles 24 x 7 x 365
-Maintenance de routine planifiée : Les opérations de maintenance de base de maCLÉ ont lieu en général le troisième dimanche du mois, de 5 h à 9 h (HNE). Les dates exactes sont indiquées sur Périodes d'entretien. Par conséquent : ◦La gestion des certificats pourrait ne pas être possible durant ces périodes.
◦Les fonctions liées aux certificats pourraient être affectées durant ces périodes.",http://service.ssc-spc.gc.ca/en/services/access/mykey/users#standards,http://service.ssc-spc.gc.ca/fr/services/acces/macle/util#normes,acces,percentage,0.995,0,0,ND,2017-2018,NA,NA,NA,NA,NA,"ND

URL to published target results for Column H is found below:

http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","AD

L’adresse URL menant vers les résultats cibles de la colonne I se trouve ci-dessous

http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante"
2017-2018,36,2,"Mean time to restore service: 4 hours, 100% of the time","Délai moyen de rétablissement : 4 heures, 100 % du temps",http://service.ssc-spc.gc.ca/en/services/access/mykey/users#standards,http://service.ssc-spc.gc.ca/fr/services/acces/macle/util#normes,time,percentage,1,0,0,ND,2017-2018,NA,NA,NA,NA,NA,"ND

URL to published target results for Column H is found below:

http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","AD

L’adresse URL menant vers les résultats cibles de la colonne I se trouve ci-dessous

http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante"
2017-2018,36,58,"Request fulfilment duration: 2 business days, 100% of the time
-Applies to LRA myKEY Certificate request
-Applies to ORCA (for participating clients) certificate request","Délai de traitement des demandes : 2 jours ouvrables, 100 % du temps
-S'applique aux demandes de certificat maCLÉ à l'autorité locale d'enregistrement
-S’applique aux demandes de certificat EAJL (pour les clients qui y ont accès)",http://service.ssc-spc.gc.ca/en/services/access/mykey/users#standards,http://service.ssc-spc.gc.ca/fr/services/acces/macle/util#normes,time,percentage,1,0,35530,0,2017-2018,NA,NA,NA,NA,NA,"ND

URL to published target results for Column H is found below:

http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","AD

L’adresse URL menant vers les résultats cibles de la colonne I se trouve ci-dessous

http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante"
2017-2018,37,1,"Availability: 24 x 7 x 365
-GCKey production environment has a service availability of 99.8%
-GCKey testing environment has a service availability of 95.0%
-SecureKey production environment has a service availability of 99.8%
-SecureKey user acceptance testing environment is available 24 x 7 x 365 with ""best effort"" support

-Service hours: 24 x 7 x 365
-Regular scheduled maintenance: 
 ◦GCKey production environment: Sundays from 02:00 to 06:00 (ET)
◦GCKey testing environment: Wednesdays from 17:00 to 23:00 (ET)
◦SecureKey Concierge production environment: Sundays from 02:00 to 06:00 (ET)
◦SecureKey Concierge user acceptance testing environment: Thursdays from 17:00 to 21:00 (ET)

-External vendor support hours:  
◦GCKey and SecureKey Concierge production environments: 24 x 7 x 365
◦GCKey testing environment: Monday to Friday from 07:00 to 19:00
◦SecureKey Concierge user acceptance testing environment: Monday to Friday from 07:00 to 23:00","Disponibilité : 24 x 7 x 365
-L'environnement de production de la CléGC a une disponibilité de 99,8 %
-L'environnement d'essai de la CléGC a une disponibilité de 95,0 %
-L'environnement de production de SecureKey Service de concierge a une disponibilité de 99,8 %
-L'environnement d'essai d'acceptation par l'utilisateur de SecureKey Service de concierge est disponible 24 heures sur 24, 7 jours sur 7 selon le meilleur soutien possible

-Heures de service : 24 x 7 x 365
-Maintenance de routine planifiée :
 ◦L’environnement de production de la CléGC : dimanche, de 2 h à 6 h (HNE)
◦L’environnement d'essai de la CléGC : mercredi, de 17 h à 23 h (HNE)
◦L’environnement de production de SecureKey Service de concierge : dimanche, de 2 h à 6 h (HNE)
◦L’environnement d'essai d'acceptation par l'utilisateur de SecureKey Service de concierge : jeudi, de 17 h à 21 h (HNE)

-Heures de soutien d'un fournisseur externe:
 ◦L’environnement de production de la CléGC et de SecureKey Service de concierge : 24 x 7 x 365
◦L’environnement d'essai de la CléGC : du lundi au vendredi, de 7 h à 19 h (HNE)
◦L’environnement d'essai d'acceptation par l'utilisateur de SecureKey Service de concierge : du lundi au vendredi, de 7 h à 23 h (HNE)",http://service.ssc-spc.gc.ca/en/services/access/external-credential-management/admin#standards,http://service.ssc-spc.gc.ca/fr/services/access/external-credential-management/admin#normes,acces,percentage,0.95,0,0,ND,2017-2018,NA,NA,NA,NA,NA,"ND

URL to published target results for Column H is found below:

http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","AD

L’adresse URL menant vers les résultats cibles de la colonne I se trouve ci-dessous

http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante"
2017-2018,37,2,"Mean time to restore service:
-GCKey production environment: 90 minutes, 99.99% of the time
-GCKey testing environment: 4 hours, 99.99% of the time
-SecureKey Concierge production environment: 4 hours, 99.99% of the time","Délai moyen de rétablissement :
-L’environnement de production CléGC : 90 minutes, 99,99 % du temps
-L’environnement d’essai CléGC : 4 heures, 99,99 % du temps
-L’environnement de production pour SecureKey Service de concierge : 4 heures, 99,99 % du temps",http://service.ssc-spc.gc.ca/en/services/access/external-credential-management/admin#standards,http://service.ssc-spc.gc.ca/fr/services/access/external-credential-management/admin#normes,time,percentage,1,0,0,ND,2017-2018,NA,NA,NA,NA,NA,"ND

URL to published target results for Column H is found below:

http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","AD

L’adresse URL menant vers les résultats cibles de la colonne I se trouve ci-dessous

http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante"
2017-2018,37,61,"Request fulfilment duration: 5 federal government working days (FGWDs), 95% of the time","Délai de traitement des demandes : 5 jours ouvrables du gouvernement fédéral, 95 % du temps",http://service.ssc-spc.gc.ca/en/services/access/external-credential-management/admin#standards,http://service.ssc-spc.gc.ca/fr/services/access/external-credential-management/admin#normes,time,percentage,0.95,0,6006340,0,2017-2018,NA,NA,NA,NA,NA,"ND

URL to published target results for Column H is found below:

http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","AD

L’adresse URL menant vers les résultats cibles de la colonne I se trouve ci-dessous

http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante"
2017-2018,38,1,"Availability: 24 x 7 x 365, 99.9% of the time 
-Service hours: 24 x 7 x 365
-Regular scheduled maintenance: Maintenance outages are planned in advance and coordinated with the client department; usually outside of business hours. There are no regular maintenance windows.
-External vendor support hours: Pre-authorized individuals within SSC may contact the Bell Help Desk 24 x 7 x 365","Disponibilité : 24 x 7 x 365 , 99,9 % du temps.
-Heures de service : 24 x 7 x 365.
-Maintenance de routine planifiée : Les interruptions pour maintenance sont planifiées au préalable et coordonnées avec le ministère client; elles ont normalement lieu en dehors des heures de bureau.Il n'y a pas de fenêtres de maintenance régulières.
-Heures de soutien d'un fournisseur externe : Les personnes préautorisées au sein de SPC peuvent communiquer avec le service de dépannage de Bell, 24 heures sur 24, tous les jours de l’année.",http://service.ssc-spc.gc.ca/en/services/access/secure-remote-access/admin#standards,http://service.ssc-spc.gc.ca/fr/services/acces/acces-distance-protege/admin#normes,acces,percentage,0.999,0,0,ND,2017-2018,NA,NA,NA,NA,NA,"ND

URL to published target results for Column H is found below:

http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","AD

L’adresse URL menant vers les résultats cibles de la colonne I se trouve ci-dessous

http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante"
2017-2018,38,2-a,"Mean time to restore service:
-Maximum time to restore service on site: 4 hours, 99% of the time","Délai moyen de rétablissement  :
-Le temps maximum nécessaire pour rétablir un service sur place : 4 heures, 99 % du temps",http://service.ssc-spc.gc.ca/en/services/access/secure-remote-access/admin#standards,http://service.ssc-spc.gc.ca/fr/services/acces/acces-distance-protege/admin#normes,time,percentage,0.99,0,0,ND,2017-2018,NA,NA,NA,NA,NA,"ND

URL to published target results for Column H is found below:

http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","AD

L’adresse URL menant vers les résultats cibles de la colonne I se trouve ci-dessous

http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante"
2017-2018,38,2-b,"Mean time to restore service (Remote):
-Maximum time to restore service to remote sites: 24 hours, 90% of the time","Délai moyen de rétablissement (emplacements éloignés)  :
-Le temps maximum nécessaire pour rétablir le service à des emplacements éloignés : 24 heures, 90 % du temps",http://service.ssc-spc.gc.ca/en/services/access/secure-remote-access/admin#standards,http://service.ssc-spc.gc.ca/fr/services/acces/acces-distance-protege/admin#normes,time,percentage,0.9,0,0,ND,2017-2018,NA,NA,NA,NA,NA,"ND

URL to published target results for Column H is found below:

http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","AD

L’adresse URL menant vers les résultats cibles de la colonne I se trouve ci-dessous

http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante"
2017-2018,46,1,"Availability: order processing: 99.9% availability
-Service hours: Monday to Friday, 8:00 a.m. to 4:00 p.m. EST, excluding statutory holidays
-Regular scheduled maintenance: all maintenance occurs outside of service hours","Disponibilité : le traitement des commandes donnera une disponibilité de 99,9 %.
-Heures de service : du lundi au vendredi, de 8 h à 16 h (HAE), à l’exception des jours fériés 
-Entretien de routine planifié : tout l’entretien aura lieu hors des heures de service",http://service.ssc-spc.gc.ca/en/services/dc/cloud#standards,http://service.ssc-spc.gc.ca/fr/services/cd/infonuagique#normes,acces,percentage,0.999,0,0,ND,2017-2018,NA,NA,NA,NA,NA,"ND

URL to published target results for Column H is found below:

http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","AD

L’adresse URL menant vers les résultats cibles de la colonne I se trouve ci-dessous

http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante"
2017-2018,38,3,"Request Fulfillment Duration: Not applicable
-varies, depending on the nature of the request and it’s level of complexity; customers are advised to contact their Account Team to discuss a schedule for fulfillment","Délai de traitement des demandes : Sans Objet
-Varie selon la nature de la demande et son niveau de complexité; les clients sont priés de contacter leurs responsables de compte afin de discuter d’une cédule d’accomplissement.",http://service.ssc-spc.gc.ca/en/services/access/secure-remote-access/admin#standards,http://service.ssc-spc.gc.ca/fr/services/acces/acces-distance-protege/admin#normes,time,percentage,,0,884,0,2017-2018,NA,NA,NA,NA,NA,ND,adv
2017-2018,39,1,"Availability: 24 x 7 x 365, 99.5% of the time 
-Service hours: 24 x 7 x 365, services are fully operational and continuously monitored ◦hours are negotiated per environment through an official Service Level Agreement 

-Regular scheduled maintenance: mandatory monthly scheduled maintenance window (minimum 4 hours per data centre) as per agreed Service Agreement","Disponibilité : 24 x 7 x 365, 99,5 % du temps.
-Heures de service : 24 x 7 x 365, les services sont entièrement fonctionnels et surveillés en continu. ◦les heures sont négociées en fonction de l’environnement, par l’entremise d’un accord officiel sur les niveaux de service. 

-Maintenance de routine planifiée : fenêtre de maintenance de routine obligatoire prévue mensuellement (au moins quatre heures par centre de données), conformément à l’accord sur les niveaux de services",http://service.ssc-spc.gc.ca/en/services/dc/is/midrange#standards,http://service.ssc-spc.gc.ca/fr/services/cd/si/ordinateurs-milieu-gamme#normes,acces,percentage,0.995,0,0,ND,2017-2018,NA,NA,NA,NA,NA,"ND

URL to published target results for Column H is found below:

http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","AD

L’adresse URL menant vers les résultats cibles de la colonne I se trouve ci-dessous

http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante"
2017-2018,39,2,"Mean time to restore service:
-varies as defined in Service Level Agreements (SLAs) depending on complexity of the environment","Délai moyen de rétablissement : 
-Le délai varie en fonction de la complexité de l’environnement, comme il est indiqué dans les accords sur les niveaux de service (ANS).",http://service.ssc-spc.gc.ca/en/services/dc/is/midrange#standards,http://service.ssc-spc.gc.ca/fr/services/cd/si/ordinateurs-milieu-gamme#normes,time,percentage,,0,0,ND,2017-2018,NA,NA,NA,NA,NA,ND,adv
2017-2018,39,3,"Request Fulfillment Duration:
-variable based on the level of complexity, quantity, resources and other factors applicable to each individual request","Délai de traitement des demandes : 
-Variable, tout dépendant du niveau de complexité, de la quantité, des ressources et d’autres facteurs s’appliquant aux demandes individuelles.",http://service.ssc-spc.gc.ca/en/services/dc/is/midrange#standards,http://service.ssc-spc.gc.ca/fr/services/cd/si/ordinateurs-milieu-gamme#normes,time,percentage,,0,11040,0,2017-2018,NA,NA,NA,NA,NA,ND,adv
2017-2018,40,1,"Availability: 24 x 7 x 365, 99.0-99.8% of the time
-Service hours: 24 x 7 x 365, services are fully operational and continuously monitored
-Regular scheduled maintenance: mandatory monthly scheduled maintenance window (minimum 4 hours per Data Centre) as per agreed Service Agreement","Disponibilité : 24 x7 x 365, de 99 % à 99,8 % du temps.
Heures de service : 24 x7 x 365, les services sont entièrement fonctionnels et surveillés en continu.
-Maintenance de routine planifiée : Fenêtre de maintenance de routine obligatoire prévue mensuellement (au moins quatre heures par centre de données), conformément à l’accord sur les niveaux de service.",http://service.ssc-spc.gc.ca/en/services/dc/is/mainframe#standards,http://service.ssc-spc.gc.ca/fr/services/cd/si/ordinateur-central#normes,acces,percentage,0.99,0,0,ND,2017-2018,NA,NA,NA,NA,NA,"ND

URL to published target results for Column H is found below:

http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","AD

L’adresse URL menant vers les résultats cibles de la colonne I se trouve ci-dessous

http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante"
2017-2018,40,2,"Mean time to restore service:
-Varies as defined in Service Level Agreements (SLA) depending on complexity of the environment","Délai moyen de rétablissement : 
-Le délai moyen de rétablissement du service varie en fonction de la complexité de l’environnement, comme il est indiqué dans les accords sur les niveaux de services (ANS).",http://service.ssc-spc.gc.ca/en/services/dc/is/mainframe#standards,http://service.ssc-spc.gc.ca/fr/services/cd/si/ordinateur-central#normes,time,percentage,,0,0,ND,2017-2018,NA,NA,NA,NA,NA,ND,adv
2017-2018,40,3,"Request Fulfillment Duration:
-Variable, based on the level of complexity, quantity, resources and other factors applicable to each individual request","Délai de traitement des demandes :
-Variable, tout dépendant du niveau de complexité, de la quantité, des ressources et d’autres facteurs s’appliquant aux demandes individuelles.",http://service.ssc-spc.gc.ca/en/services/dc/is/mainframe#standards,http://service.ssc-spc.gc.ca/fr/services/cd/si/ordinateur-central#normes,time,percentage,,0,434,0,2017-2018,NA,NA,NA,NA,NA,ND,adv
2017-2018,41,1,"Availability: 24 x 7 x 365, 99.5% of the time
-Service hours:  ◦Enterprise data centres: 24 x 7 x 365, services are fully operational and continuously monitored
◦Legacy data centres: 24 x 7 x 365, services are fully operational, monitoring ability may vary per data centre

-Regular scheduled maintenance: In general, scheduled maintenance is performed non-disruptively. Individual storage units may be brought out of service in planned outages to perform extraordinary maintenance. The outage frequency is typically approximately once a year and for less than 4 hours.","Disponibilité : 24 x 7 x 365, 99,5 % du temps
-Heures de service :  ◦Centres de données d’entreprise : 24 x 7 x 365, les services sont entièrement fonctionnels et surveillés en continu
◦Centres de données existants : 24 x 7 x 365, les services sont entièrement fonctionnels, mais la capacité de surveillance peut varier d’un centre de données à un autre

-Maintenance de routine planifiée : De manière générale, la maintenance planifiée est exécutée sans interruption. Les unités de stockage individuelles peuvent être mises hors service dans le cadre d’interruptions planifiées afin de procéder à une maintenance extraordinaire. Les interruptions ont normalement lieu environ une fois par année, et leur durée est de moins de quatre heures.",http://service.ssc-spc.gc.ca/en/services/dc/is/storage#standards,http://service.ssc-spc.gc.ca/fr/services/cd/si/stockage#normes,acces,percentage,0.995,0,0,ND,2017-2018,NA,NA,NA,NA,NA,"ND

URL to published target results for Column H is found below:

http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","AD

L’adresse URL menant vers les résultats cibles de la colonne I se trouve ci-dessous

http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante"
2017-2018,41,2,"Mean time to restore service:
-Enterprise base service: ◦Recovery time objective (RTO) - standard: 4 hours
◦Recovery point objective (RPO) - standard: 24 hours

-Legacy base service: ◦varies depending on complexity of the environment, SSC respects the service standards established at Order in Council","Délai moyen de rétablissement :
-Service de base d’entreprise : ◦Objectif de temps de rétablissement - Standard : 4 heures
◦Objectif de point de reprise - Standard : 24 heures

-Service de base existant : ◦Le délai moyen de rétablissement du service (DMRS) varie selon la complexité de l’environnement. SPC respectera les normes de service établies en vertu du décret.",http://service.ssc-spc.gc.ca/en/services/dc/is/storage#standards,http://service.ssc-spc.gc.ca/fr/services/cd/si/stockage#normes,time,percentage,,0,0,ND,2017-2018,NA,NA,NA,NA,NA,ND,adv
2017-2018,41,3,"Request fulfillment duration:
-Variable based on the level of complexity, quantity, resources and other factors applicable to each individual request; fulfillment duration may be established during the creation of the business intake request.","Délai de traitement des demandes :
-Variable, tout dépendant du niveau de complexité, de la quantité, des ressources et d’autres facteurs applicables à chaque demande. Le délai de traitement peut être déterminé durant la création de la demande d’intégration opérationnelle.",http://service.ssc-spc.gc.ca/en/services/dc/is/storage#standards,http://service.ssc-spc.gc.ca/fr/services/cd/si/stockage#normes,time,percentage,,0,6314,0,2017-2018,NA,NA,NA,NA,NA,ND,adv
2017-2018,46,2,"Mean time to restore service: within 24 hours, Monday to Friday, 8 a.m. to 4 p.m. EST, 80% of the time. 
-Recovery of the ordering process is based on the severity of the event: ◦24 hours in the event that the web-based ordering form fails; in this event, scanned forms can be emailed to SSC Cloud Brokering Service – Contact us 
◦5 days in the event of facilities loss","Délai moyen de restauration du service : dans les 24 heures, du lundi au vendredi, de 8 h à 16 h (HAE), atteinte de 80 %
-La récupération du processus de commande sera basée sur la gravité de l’incident : ◦24 heures dans les cas où le formulaire de commande Web fait défaut. Dans un tel cas, les formulaires peuvent être numérisés et acheminés par courriel à Services de courtage infonuagique – Contactez-nous.
◦Cinq jours en cas de perte des installations",http://service.ssc-spc.gc.ca/en/services/dc/cloud#standards,http://service.ssc-spc.gc.ca/fr/services/cd/infonuagique#normes,time,percentage,0.8,0,0,ND,2017-2018,NA,NA,NA,NA,NA,"ND

URL to published target results for Column H is found below:

http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","AD

L’adresse URL menant vers les résultats cibles de la colonne I se trouve ci-dessous

http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante"
2017-2018,46,83,"Request fulfilment duration: 5 business days, 70% of the time.","Délai de réalisation des demandes : cinq jours ouvrables, niveau d’atteinte de 70 %",http://service.ssc-spc.gc.ca/en/services/dc/cloud#standards,http://service.ssc-spc.gc.ca/fr/services/cd/infonuagique#normes,time,percentage,0.7,0,2,0,2017-2018,NA,NA,NA,NA,NA,"ND

URL to published target results for Column H is found below:

http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","AD

L’adresse URL menant vers les résultats cibles de la colonne I se trouve ci-dessous

http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante"
2017-2018,14,2,"Mean time to restore service:
-Targets vary depending on site and-or partner profile and geographical area, and range from 1 hour to 48 hours. International locations, satellite locations and very remote national locations (i.e. fly-in locations and unmanned locations, etc.) may experience a substantially greater MTRS.","Délai moyen de rétablissement: 
-Le délai moyen de rétablissement de service (DMRS) varie, de 1 heure à 48 heures, selon le lieu ou le profil du partenaire ainsi que selon l’emplacement géographique. Il se peut que le DMRS soit considérablement plus long dans le cas des emplacements internationaux, satellite et les sites nationaux dans les régions très éloignées (c.-à-d., sans personnel ou accessibles uniquement par voie aérienne).",http://service.ssc-spc.gc.ca/en/services/infrastructure/network-infra/gcnetwan-admin#standards,http://service.ssc-spc.gc.ca/fr/services/infrastructure/infra-reseau/re-rgc-admin#normes,time,percentage,,0,0,ND,2017-2018,NA,NA,NA,NA,NA,ND,adv
2017-2018,14,1-a,"Availability (national locations): 24 x 7 x 365 Availability is site-specific. Objectives range from 99.3%, up to 99.999% for most national locations.","Disponibilité (emplacements nationaux) : 24 x 7 x 365 La disponibilité est propre à chaque site. Les objectifs varient de 99,3 % jusqu’à 99,999 % pour la plupart des emplacements nationaux.",http://service.ssc-spc.gc.ca/en/services/infrastructure/network-infra/gcnetwan-admin#standards,http://service.ssc-spc.gc.ca/fr/services/infrastructure/infra-reseau/re-rgc-admin#normes,acces,percentage,0.993,0,0,ND,2017-2018,NA,NA,NA,NA,NA,"ND

URL to published target results for Column H is found below:

http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","AD

L’adresse URL menant vers les résultats cibles de la colonne I se trouve ci-dessous

http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante"
2017-2018,14,1-b,Availability (international locations): Objectives for international locations or locations with satellite service range from 99.8% to 99.999%.,"Disponibilité (emplacements internationaux) : Les emplacements internationaux, ou les emplacements dotés de services par satellite ont des objectifs qui varient de 99,8 % jusqu’à 99,999 %.",http://service.ssc-spc.gc.ca/en/services/infrastructure/network-infra/gcnetwan-admin#standards,http://service.ssc-spc.gc.ca/fr/services/infrastructure/infra-reseau/re-rgc-admin#normes,acces,percentage,0.998,0,0,ND,2017-2018,NA,NA,NA,NA,NA,"ND

URL to published target results for Column H is found below:

http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","AD

L’adresse URL menant vers les résultats cibles de la colonne I se trouve ci-dessous

http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante"
2017-2018,20,1-a,"Availability (Standard): 
-Service hours:  24 x 7 x 365, services are fully operational and continuously monitored ◦Standard availability : 97%, 90% of the time

-Regular scheduled maintenance:  ◦Standard availability: A predefined window of a maximum of 4 hours is used every month to do maintenance","Disponibilité (Normal): 
-Heures de service : 24 x 7 x 365, services entièrement fonctionnels et sous surveillance constante ◦Disponibilité normale : 97 %, 90 % du temps

-Maintenance de routine planifiée :  ◦Disponibilité normale : Une période prédéfinie d’un maximum de 4 heures servira à faire la maintenance chaque mois.",http://service.ssc-spc.gc.ca/en/services/dc/high-perf-comp/specialists#standards,http://service.ssc-spc.gc.ca/fr/services/cd/calcul-haute-perf/specialistes#normes,acces,percentage,0.97,0,0,ND,2017-2018,NA,NA,NA,NA,NA,"ND

URL to published target results for Column H is found below:

http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health","AD

L’adresse URL menant vers les résultats cibles de la colonne I se trouve ci-dessous

http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante"
